t_global,episode,t,action,belief_toxic,inventory,regime,reward
531,26,11,0,0.0256,1,0,1.95
532,26,12,2,0.0256,2,0,-0.4
533,26,13,0,0.0256,1,0,1.95
534,26,14,2,0.2575,2,0,-0.4
535,26,15,2,0.1018,1,0,-0.35
536,26,16,0,0.0486,0,0,2.0
537,26,17,2,0.3063,1,0,-0.35
538,26,18,1,0.6444,0,0,-0.0
539,26,19,1,0.2874,0,0,-0.0
540,27,0,1,0.2,0,0,-0.0
541,27,1,1,0.5385,0,0,-0.0
542,27,2,1,0.2268,0,0,-0.0
543,27,3,0,0.0906,0,0,2.0
544,27,4,1,0.3842,1,0,-0.05
545,27,5,2,0.1528,1,0,-0.35
546,27,6,0,0.065,0,0,2.0
547,27,7,0,0.0372,1,0,1.95
548,27,8,2,0.029,2,0,-0.4
549,27,9,0,0.0265,1,0,1.95
550,27,10,2,0.0258,2,0,-0.4
551,27,11,0,0.0256,1,0,1.95
552,27,12,2,0.0256,2,0,-0.4
553,27,13,0,0.0256,1,0,1.95
554,27,14,2,0.2575,2,0,-0.4
555,27,15,1,0.5998,1,0,-0.05
556,27,16,1,0.2608,1,0,-0.05
557,27,17,1,0.603,1,1,-0.05
558,27,18,2,0.2626,1,0,-0.35
559,27,19,1,0.1037,0,0,-0.0
560,28,0,1,0.2,0,1,-0.0
561,28,1,1,0.5385,0,1,-0.0
562,28,2,1,0.795,0,1,-0.0
563,28,3,1,0.895,0,1,-0.0
564,28,4,1,0.9235,0,1,-0.0
565,28,5,1,0.9309,0,1,-0.0
566,28,6,1,0.9327,0,1,-0.0
567,28,7,1,0.5137,0,0,-0.0
568,28,8,1,0.2138,0,0,-0.0
569,28,9,0,0.086,0,0,2.0
570,28,10,2,0.0436,1,0,-0.35
571,28,11,0,0.0308,0,0,2.0
572,28,12,2,0.0271,1,0,-0.35
573,28,13,0,0.026,0,0,2.0
574,28,14,2,0.0257,1,0,-0.35
575,28,15,0,0.0256,0,0,2.0
576,28,16,2,0.0256,1,0,-0.35
577,28,17,0,0.0256,0,0,2.0
578,28,18,2,0.0256,1,0,-0.35
579,28,19,1,0.0256,0,1,-0.0
580,29,0,1,0.2,0,0,-0.0
581,29,1,0,0.0811,0,0,2.0
582,29,2,2,0.0421,1,0,-0.35
583,29,3,0,0.0304,0,0,2.0
584,29,4,0,0.027,1,0,1.95
585,29,5,2,0.2606,2,0,-0.4
586,29,6,2,0.103,1,0,-0.35
587,29,7,0,0.0489,0,0,2.0
588,29,8,2,0.0324,1,0,-0.35
589,29,9,0,0.0276,0,0,2.0
590,29,10,0,0.0261,1,0,1.95
591,29,11,2,0.0257,2,0,-0.4
592,29,12,2,0.0256,1,0,-0.35
593,29,13,1,0.2576,0,1,-0.0
594,29,14,1,0.5999,0,1,-0.0
595,29,15,1,0.2608,0,0,-0.0
596,29,16,0,0.1031,0,0,2.0
597,29,17,2,0.049,1,0,-0.35
598,29,18,0,0.0324,0,0,2.0
599,29,19,2,0.0276,1,0,-0.35
600,30,0,1,0.2,0,0,-0.0
601,30,1,0,0.0811,0,0,2.0
602,30,2,2,0.0421,1,0,-0.35
603,30,3,0,0.0304,0,0,2.0
604,30,4,0,0.027,1,0,1.95
605,30,5,2,0.2606,2,1,-1.6
606,30,6,1,0.6029,1,1,-0.05
607,30,7,1,0.8248,1,1,-0.05
608,30,8,1,0.904,1,1,-0.05
609,30,9,1,0.9259,1,0,-0.05
610,30,10,1,0.9315,1,1,-0.05
611,30,11,1,0.5124,1,1,-0.05
612,30,12,1,0.7818,1,1,-0.05
613,30,13,2,0.3818,1,1,-1.55
614,30,14,0,0.1517,0,1,-4.0
615,30,15,2,0.0647,1,0,-0.35
616,30,16,0,0.0371,0,0,2.0
617,30,17,0,0.0289,1,0,1.95
618,30,18,2,0.0265,2,0,-0.4
619,30,19,2,0.0258,1,0,-0.35
620,31,0,1,0.2,0,1,-0.0
621,31,1,1,0.5385,0,1,-0.0
622,31,2,1,0.795,0,1,-0.0
623,31,3,1,0.895,0,1,-0.0
624,31,4,1,0.9235,0,1,-0.0
625,31,5,1,0.5046,0,1,-0.0
626,31,6,1,0.2092,0,1,-0.0
627,31,7,1,0.549,0,1,-0.0
628,31,8,1,0.2324,0,1,-0.0
629,31,9,1,0.5744,0,1,-0.0
630,31,10,1,0.8121,0,1,-0.0
631,31,11,1,0.4056,0,1,-0.0
632,31,12,1,0.719,0,1,-0.0
633,31,13,1,0.3362,0,1,-0.0
634,31,14,0,0.1325,0,0,2.0
635,31,15,2,0.0584,1,0,-0.35
636,31,16,0,0.0352,0,0,2.0
637,31,17,2,0.2786,1,0,-0.35
638,31,18,0,0.1098,0,0,2.0
639,31,19,2,0.4158,1,1,-1.55
640,32,0,1,0.2,0,0,-0.0
641,32,1,0,0.0811,0,0,2.0
642,32,2,2,0.0421,1,0,-0.35
643,32,3,0,0.0304,0,0,2.0
